"","z","log10T90","log10Fluence","log10PeakFlux","PhotonIndex","log10NH","log10Fa","log10Ta","Alpha","Beta","Gamma","log10T90Err","log10FluenceErr","log10PeakFluxErr","PhotonIndexErr","log10FaErr","log10TaErr","AlphaErr","BetaErr","Class"
"22",1.92,1.00860017176192,-6.306273051,0.28780173,1.68,20.79066861,-10.86966623,3.50569,1.12969,1.485,2.20484,0.153333382301668,0.019714017700399,0.0189944478152724,0.072727272727273,0.06115,0.062725,0.028525,0.3341015195,"0"
"23",2.711,2.06069784035361,-5.548213564,0.10720997,1.93,22.0125926,-10.86012091,3.73449,1.20488,0.87,2.04425,0.0344768087771092,0.0155321080197879,0.026732141383355,0.066666666666667,0.035200000000001,0.046765,0.035305,0.005,"1"
"24",0.54,2.0618293072947,-5.583359493,0.068185862,1.75,20.86562801,-11.15058059,5.1057,1.35481,1.317,1.92492,0.12770239254628,0.0212785639737521,0.0292454196396912,0.084848484848485,0.011600000000001,0.012825,0.013425,0.077392286,"0"
"25",1.9229,2.16226561429802,-4.835647144,0.861534411,1.53,22.00679538,-10.91009489,4.22387,1.29504,0.97,2.11591,0.0146412491857506,0.00430869161989862,0.0104993872461393,0.018181818181818,0.035299999999999,0.034855,0.024565,0.005,"0"
"26",3.686,1.63848925695464,-5.655607726,0.294466226,2.03,22.41960057,-11.8827287,4.33479,1.71887,1.06,2.07859,0.0815374132566299,0.0161974631827828,0.0374103845495022,0.066666666666667,0.08845,0.072145,0.169635,0.005,"1"
"27",1.8836,1.28555730900777,-5.552841969,0.481442629,1,21.80952201,-9.627087997,2.81918,1.38309,1.185,2.13395,0.0299356102082822,0.0104343479500535,0.0217168957598539,0.1818181818,0.045185,0.05993,0.04964,0.0034749535,"0"
"28",3.2,0.903089986991944,-6.659555885,0.037426498,2.54,22.50004427,-10.84771166,3.351,1.45111,1.357,2.00443,0.0658325115271916,0.0300466640198818,0.0338066318922117,0.139393939393939,0.08245,0.09927,0.11561,0.009157091,"1"
"29",5.47,1.35218251811136,-5.946921557,0.431363764,0.9,22.10710478,-10.77728353,3.15198,1.39098,0.83,1.94856,0.0249820977926045,0.0158391122565265,0.0165724044782448,0.2424242424,0.08115,0.108435,0.118785,0.178498106,"1"
"30",0.3463,1.66464197555613,-5.528708289,0.78604121,1.3,20.87141063,-10.04095861,3.23849,1.01707,0.785,1.99282,0.0507507175199213,0.00898111029446789,0.0116311570876723,0.036363636363636,0.0264,0.03399,0.010415,0.0168000365,"0"
"31",1.314,1.91009054559407,-4.863279433,1.324282455,1.41,21.75351565,-10.03011836,3.78753,1.35185,0.9485,1.90181,0.246407281873044,0.00382325157840621,0.0057382008275868,0.018181818181818,0.01265,0.01703,0.01585,0.0023582105,"0"
